id,recipient_id,type,message,related_table,related_id,read,created_at,period_start,period_end,dedupe_key
819bc8c3-227b-45b6-b017-deb278df545c,59d8e9b7-9032-432a-bc30-a84c1fecb0f9,vehicle_check_issue,Maisey: 1 issue(s) reported on pre-operation check,vehicle_checks,a360b37e-7288-48c4-8531-843186107bdc,false,2026-08-19 23:17:06.584323+00,,,
b94acb8b-21a0-4f86-938e-4f38385c6a91,59d8e9b7-9032-432a-bc30-a84c1fecb0f9,incident_report,Maisey: dent in front,incident_reports,a29bf764-a3d5-40b8-9fb6-8b01f6817fda,false,2026-08-14 09:22:15.982781+00,,,
